State,Latitude (generated),Longitude (generated),Profit
Wyoming,43,-107.5,"$6,511"
Wisconsin,44.5,-90,"$40,782"
West Virginia,38.63,-80.73,"$3,994"
Washington,47.5,-120.5,"$15,065"
Virginia,37.77,-78.24,"$32,593"
Vermont,44.1584,-72.7678,"$7,990"
Utah,39.25,-111.75,"$18,437"
Texas,31.25,-99.25,"$172,406"
Tennessee,35.75,-86.25,"($6,904)"
South Dakota,44.5,-100.25,"$17,903"
South Carolina,34,-81,$660
Rhode Island,41.4966,-71.4757,"$6,624"
Pennsylvania,40.86,-77.9,"$27,209"
Oregon,44,-120.5,"$51,429"
Oklahoma,35.5,-97.5,"$25,434"
Ohio,40.25,-83,"$48,535"
North Dakota,47.5,-100,"$8,853"
North Carolina,35.5,-80,"$26,624"
New York,43,-75.49,"$112,053"
New Mexico,34.5,-106,"$23,514"
New Jersey,40.16,-74.49,"$24,731"
New Hampshire,43.66,-71.49,"$22,871"
Nevada,39.25,-116.75,"$4,396"
Nebraska,41.5,-99.75,"$10,258"
Montana,47,-109.75,"$6,330"
Missouri,38.25,-92.5,"$24,628"
Mississippi,33.503,-89.8071,"($18,047)"
Minnesota,46.25,-94.25,"$26,632"
Michigan,43.1045,-84.6165,"$53,044"
Massachusetts,42.3616,-72.1839,"$93,819"
Maryland,39.4444,-77.0834,"$21,041"
Maine,45.5,-69.24,"$16,509"
Louisiana,30.6935,-92.241,$942
Kentucky,37.79,-84.87,"$8,126"
Kansas,38.5,-98.5,"$15,004"
Iowa,42,-93.5,"$17,073"
Indiana,40,-86.25,"$24,890"
Illinois,40,-89.25,"$21,761"
Idaho,44.0739,-114.542,"$15,659"
Georgia,32.1598,-83.4715,"$18,502"
Florida,28.42,-81.55,"$26,417"
District of Columbia,38.91,-77,"$25,513"
Delaware,38.6716,-75.4165,$62
Connecticut,41.6227,-72.7028,"$64,073"
Colorado,39,-105.5,"$19,693"
California,37.25,-119.75,"$80,333"
Arkansas,34.75,-92.5,"$7,453"
Arizona,34.5,-111.5,"$30,211"
Alabama,32.75,-86.75,"$10,779"
